level 1 category,level 2 category,level 3 category,attribute,valid attribute values
"Automotive, RV and Marine",Automotive Lighting and Electrical,Automotive Safety/Clearance Lights,Color,Amber;Amber/Red;Blue;Clear;Multicolored;Red
"Automotive, RV and Marine",Automotive Lighting and Electrical,Automotive Safety/Clearance Lights,Lamp Shape,Oblong;Oval;Rectangular;Round;Square;Trapezoid
"Automotive, RV and Marine",Automotive Lighting and Electrical,Automotive Safety/Clearance Lights,Light Function,Back-Up;Clearance;Clearance/Side Marker;Flashing Beacon;ID;Implement/Tractor;Interior;License/Stop/Tail;License/Stop/Tail/Turn;Marker;Parking/Turn/Warning;Side Marker;Stop/Tail;Stop/Tail/Turn;Tail;Towing;Trailer;Utility;Warning
"Automotive, RV and Marine",Automotive Lighting and Electrical,Automotive Safety/Clearance Lights,Product Type,Combination Tail Light;LED Hazard Light;LED Light;LED Light Kit;LED Pedestal-Mount Work Light;LED Work Light;Light;Light Bar;Light Kit;Light Replacement Lens;Light/Signal
"Automotive, RV and Marine",Automotive Lighting and Electrical,Automotive Safety/Clearance Lights,Lens Material,ABS Plastic;Acrylic;Acrylic/Polypropylene;Plastic;Polycarbonate
"Automotive, RV and Marine",Automotive Lighting and Electrical,Automotive Safety/Clearance Lights,Height,
"Automotive, RV and Marine",Automotive Lighting and Electrical,Automotive Safety/Clearance Lights,Width,
"Automotive, RV and Marine",Automotive Lighting and Electrical,Automotive Safety/Clearance Lights,Depth,
"Automotive, RV and Marine",Automotive Lighting and Electrical,Automotive Safety/Clearance Lights,Wiring Included,No;Yes
"Automotive, RV and Marine",Automotive Lighting and Electrical,Automotive Safety/Clearance Lights,Connector Type,Magnetic;Mounting;Sealed
"Automotive, RV and Marine",Automotive Lighting and Electrical,Automotive Safety/Clearance Lights,Number in Package,
"Automotive, RV and Marine",Automotive Lighting and Electrical,Automotive Safety/Clearance Lights,Packaging Type,Bagged;Boxed;Carded;Clamshell
"Automotive, RV and Marine",Automotive Lighting and Electrical,Automotive Safety/Clearance Lights,Volts,12;16;24;30;32;36;8;9
"Automotive, RV and Marine",Automotive Lighting and Electrical,Automotive Wire,Brand Name,
"Automotive, RV and Marine",Automotive Lighting and Electrical,Automotive Wire,Sub Brand,
"Automotive, RV and Marine",Automotive Lighting and Electrical,Automotive Wire,Length,
"Automotive, RV and Marine",Automotive Lighting and Electrical,Automotive Wire,Solid or Stranded,Solid;Stranded
"Automotive, RV and Marine",Automotive Lighting and Electrical,Automotive Wire,Gauge,
"Automotive, RV and Marine",Automotive Lighting and Electrical,Automotive Wire,Product Type,Primary Wire;Trailer Wire
"Automotive, RV and Marine",Automotive Lighting and Electrical,Automotive Wire,Color Family,Assorted;Beige;Black;Blue;Brown;Clear;Gray;Green;Ivory;Metallic;Multicolored;Orange;Other;Pink;Purple;Red;White;White/Brown/Yellow/Green;Yellow
"Automotive, RV and Marine",Automotive Lighting and Electrical,Automotive Wire,Number of Conductors,
"Automotive, RV and Marine",Automotive Lighting and Electrical,Automotive Wire,Packaging Type,Bagged;Boxed;Bulk;Carded
"Automotive, RV and Marine",Automotive Lighting and Electrical,Automotive Wire,Color,Assorted;Black;Blue;Brown;Clear;Copper;Gold;Gray;Green;Multicolored;Orange;Pink;Purple;Red;Silver;White;Yellow
"Automotive, RV and Marine",Automotive Lighting and Electrical,Automotive Wire,Conductor Material,Copper;Copper Alloy
"Automotive, RV and Marine",Automotive Lighting and Electrical,Automotive Wire,Jacket Material,Polyurethane;PVC;Thermoplastic
"Automotive, RV and Marine",Automotive Lighting and Electrical,Electric Inverters,Brand Name,
"Automotive, RV and Marine",Automotive Lighting and Electrical,Electric Inverters,Sub Brand,
"Automotive, RV and Marine",Automotive Lighting and Electrical,Electric Inverters,Volts,
"Automotive, RV and Marine",Automotive Lighting and Electrical,Electric Inverters,Rated Wattage Peak,
"Automotive, RV and Marine",Automotive Lighting and Electrical,Electric Inverters,Number of Outlets,
"Automotive, RV and Marine",Automotive Lighting and Electrical,Electric Inverters,Product Type,Parallel Kit;Power Inverter;USB Inverter
"Automotive, RV and Marine",Automotive Lighting and Electrical,Electric Inverters,USB Port,No;Yes
"Automotive, RV and Marine",Automotive Lighting and Electrical,Electric Inverters,Low Battery Shutdown,No;Yes
"Automotive, RV and Marine",Automotive Lighting and Electrical,Electric Inverters,Short Circuit Protection,No;Yes
"Automotive, RV and Marine",Automotive Lighting and Electrical,Electric Inverters,Rated Wattage Continuous,
"Automotive, RV and Marine",Automotive Lighting and Electrical,Electric Inverters,Amps,
"Automotive, RV and Marine",Automotive Lighting and Electrical,Electric Inverters,Color,Assorted;Black;Blue;Brown;Clear;Copper;Gold;Gray;Green;Multicolored;Orange;Pink;Purple;Red;Silver;White;Yellow
"Automotive, RV and Marine",Automotive Lighting and Electrical,Electric Inverters,Packaging Type,Bagged;Boxed;Bulk;Carded
"Automotive, RV and Marine",Automotive Lighting and Electrical,Electric Inverters,Warranty,1 year;1 year Limited Parts and Labor;10 year;10 year Limited Parts and Labor;2 year;2 year Limited Parts and Labor;3 year;3 year Limited Parts and Labor;30 days;30 days Limited Parts and Labor;4 year;4 year Limited Parts and Labor;5 year;5 year Limited Parts and Labor;6 months;6 months Limited Parts and Labor;6 year;6 year Limited Parts and Labor;60 days;60 days Limited Parts and Labor;7 year;7 year Limited Parts and Labor;8 year;8 year Limited Parts and Labor;9 year;9 year Limited Parts and Labor;Specialized
"Automotive, RV and Marine",Automotive Lighting and Electrical,Headlights,Brand Name,DO NOT USE THIS CATEGORY
"Automotive, RV and Marine",Automotive Lighting and Electrical,Headlights,Sub Brand,DO NOT USE THIS CATEGORY
"Automotive, RV and Marine",Automotive Lighting and Electrical,Headlights,Vehicle System Voltage,
"Automotive, RV and Marine",Automotive Lighting and Electrical,Headlights,Bulb Technology,
"Automotive, RV and Marine",Automotive Lighting and Electrical,Headlights,Product Type,DO NOT USE THIS CATEGORY
"Automotive, RV and Marine",Automotive Lighting and Electrical,Headlights,Number in Package,
"Automotive, RV and Marine",Automotive Lighting and Electrical,Headlights,Lumens,
"Automotive, RV and Marine",Automotive Lighting and Electrical,Headlights,Headlamp Beam,High;Low
"Automotive, RV and Marine",Automotive Lighting and Electrical,Headlights,Housing Length,
"Automotive, RV and Marine",Automotive Lighting and Electrical,Headlights,Filament Configuration,C-6;C-6/C-8;C-8
"Automotive, RV and Marine",Automotive Lighting and Electrical,Headlights,Color Temperature,
"Automotive, RV and Marine",Automotive Lighting and Electrical,Headlights,Packaging Type,Bagged;Boxed;Bulk;Carded
"Automotive, RV and Marine",Automotive Lighting and Electrical,Headlights,Bulb Number,
"Automotive, RV and Marine",Automotive Lighting and Electrical,Headlights,Bulb Diameter,
"Automotive, RV and Marine",Automotive Lighting and Electrical,Headlights,Color,Amber;Black;Clear;Other;Red;Red/Amber/Clear;White;Yellow
"Automotive, RV and Marine",Automotive Lighting and Electrical,Headlights,Average Rated Life,
"Automotive, RV and Marine",Automotive Lighting and Electrical,Headlights,Watts,
"Automotive, RV and Marine",Automotive Lighting and Electrical,Headlights,Bulb Shape,Oblong;Oval;Rectangular;Round;Tube
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Batteries,Brand Name,
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Batteries,Sub Brand,
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Batteries,Battery Cold Cranking Amps at 0 Degrees F,
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Batteries,Volts,
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Batteries,Product Type,Automotive Battery;Battery Acid;Battery Carrying Strap;Battery Installation Kit;Deep Cycle Battery;Dry Motorcycle Battery;Generator Battery;Golf Cart Battery;Lawn and Garden Battery;Lead Acid Automotive Battery;Lead Acid Battery;Motorcycle/Small Engine Battery;Powersport Battery;Small Engine Battery;Top Post Automotive Battery;Universal Battery
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Batteries,Maintenance Free,No;Yes
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Batteries,BCI Group Size,
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Batteries,Height,
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Batteries,Width,
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Batteries,Depth,
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Batteries,Packaging Type,Bagged;Boxed;Bulk;Carded
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Batteries,Rechargeable,No;Yes
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Batteries,Sealed,No;Yes
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Battery Chargers,Brand Name,
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Battery Chargers,Sub Brand,
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Battery Chargers,Automatic or Manual,Automatic;Automatic/Manual;Manual
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Battery Chargers,Volts,
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Battery Chargers,Amps,
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Battery Chargers,Product Type,Battery Charger;Battery Charger Ring Terminal Harness;Battery Charger/Engine Starter;Battery Charger/Indicator;Battery Charger/Maintainer;Battery Consumption Meter;Battery Inverter/Jump Starter;Battery Jump Starter;Battery Saver Adapter;Electric Vehicle Adapter;Flash Reprogrammer/Power Supply;Jump Starter and Inflator;Jump Starter and Power Bank;Portable Electric Vehicle Charger;Power Consumption Meter;Solar Battery Charger
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Battery Chargers,Color,
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Battery Chargers,Battery Type,AGM;Battery;Deep Cycle Lead Acid Battery;Deep-Cycle;Gel;Lithium Battery;Sealed Lead Acid;Standard;Starting Lead Acid
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Battery Chargers,Reverse Polarity Protection,No;Yes
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Battery Chargers,Automatic Delay Shutoff,No;Yes
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Battery Chargers,Cord Length,
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Battery Chargers,Number of Batteries Charged at Once,
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Battery Chargers,Handheld or Wheels,Handheld;Wheels
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Battery Chargers,Battery Test Function,No;Yes
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Battery Chargers,UL Listed,No;Yes
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Battery Chargers,CSA Listed,No;Yes
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Battery Chargers,ETL Listed,No;Yes
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Battery Chargers,Packaging Type,Bagged;Boxed;Bulk;Carded
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Battery Chargers,Number of Accessory Outlets,
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Battery Chargers,Energy Star Certified,No;Yes
"Automotive, RV and Marine",Batteries and Booster Cables,Automotive Battery Chargers,Warranty,1 year;1 year Limited Parts and Labor;10 year;10 year Limited Parts and Labor;2 year;2 year Limited Parts and Labor;3 year;3 year Limited Parts and Labor;30 days;30 days Limited Parts and Labor;4 year;4 year Limited Parts and Labor;5 year;5 year Limited Parts and Labor;6 months;6 months Limited Parts and Labor;6 year;6 year Limited Parts and Labor;60 days;60 days Limited Parts and Labor;7 year;7 year Limited Parts and Labor;8 year;8 year Limited Parts and Labor;9 year;9 year Limited Parts and Labor;Specialized
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Cables,Brand Name,
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Cables,Sub Brand,
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Cables,Cable Gauge,
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Cables,Cable Length,
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Cables,Product Type,Alligator Test Clips;Battery Cable;Battery Charger Cable Connectors;Battery Tune Up Clip;Booster Cable
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Cables,Cable End Type,Lead Top Post;Lug To Lug;Side Terminal;Top and Side Post
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Cables,Packaging Type,Bagged;Boxed;Bulk;Carded
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Cables,Volts,
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Cables,Color,Assorted;Black;Black/Red;Blue;Brown;Clear;Copper;Gold;Gray;Green;Multicolored;Orange;Pink;Purple;Red;Silver;White;Yellow
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Cleaners,Brand Name,
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Cleaners,Sub Brand,
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Cleaners,Product Type,Battery Brush;Battery Cleaner;Battery Installation Kit;Battery Post and Terminal Cleaner;Battery Protector and Sealer;Battery Syringe Filler;Battery Terminal Cleaner and Acid Neutralizer;Battery Washer;Battery Wrench
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Cleaners,Container Size,
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Cleaners,Color,Assorted;Black;Blue;Brown;Clear;Copper;Gold;Gray;Green;Multicolored;Orange;Pink;Purple;Red;Silver;White;Yellow
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Cleaners,Width,
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Cleaners,Height,
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Cleaners,Packaging Type,Aerosol;Bagged;Boxed;Bulk;Can;Carded
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Cleaners,Material,
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Cleaners,Number in Package,
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Cleaners,Length,
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Cleaners,Application,
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Terminals,Brand Name,
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Terminals,Sub Brand,
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Terminals,Volts,
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Terminals,Terminal Type,Post;Side;Top
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Terminals,Product Type,Battery Cable Bolts and Nuts;Battery Cable Lug;Battery Charging Posts;Battery Disconnect;Battery Disconnect Cover;Battery Disconnect Switch;Battery Terminal;Battery Terminal Adapter;Battery Terminal Puller;Crimp Top Post Terminal End;Hold Down Hook Kit;Side Post Terminal End;Terminal Bolt;Terminal End;Terminal Washer;Top Post Standard;Top Terminal/Post Washer;Water Resistant Master Switch
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Terminals,Material,Alloy Steel;Aluminum;Aluminum/Magnesium;Brass;Copper;Lead;Metal;Stainless Steel;Steel;Synthetic
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Terminals,Cable Gauge,
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Terminals,Packaging Type,Bagged;Boxed;Bulk;Carded
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Testers,Brand Name,
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Testers,Sub Brand,
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Testers,Volt Rating,
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Testers,Amp Rating,
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Testers,Analog or Digital,Analog;Digital
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Testers,Product Type,Battery Tester;Hydrometer
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Testers,Tests Battery Volts,No;Yes
"Automotive, RV and Marine",Batteries and Booster Cables,Battery Testers,Packaging Type,Bagged;Boxed;Bulk;Carded
"Automotive, RV and Marine",Batteries and Booster Cables,Jumper Cables,Brand Name,
"Automotive, RV and Marine",Batteries and Booster Cables,Jumper Cables,Sub Brand,
"Automotive, RV and Marine",Batteries and Booster Cables,Jumper Cables,Cable Length,
"Automotive, RV and Marine",Batteries and Booster Cables,Jumper Cables,Cable Gauge,
"Automotive, RV and Marine",Batteries and Booster Cables,Jumper Cables,Product Type,Advanced Power Booster Cable;Battery Charger Clamps;Booster Cable;Booster Cable Clamps;Cable Booster and Bag;Jumper Cable;Lighted Jumper Cables;Road Power Booster Cable;Standard Booster Cable
"Automotive, RV and Marine",Batteries and Booster Cables,Jumper Cables,Amps,
"Automotive, RV and Marine",Batteries and Booster Cables,Jumper Cables,Packaging Type,Bagged;Boxed;Bulk;Carded
"Automotive, RV and Marine",Batteries and Booster Cables,Jumper Cables,UL Listed,
"Automotive, RV and Marine",Car Cleaning Supplies,Automobile Waxes and Polishes,Brand Name,
"Automotive, RV and Marine",Car Cleaning Supplies,Automobile Waxes and Polishes,Sub Brand,
"Automotive, RV and Marine",Car Cleaning Supplies,Automobile Waxes and Polishes,Product Type,Auto Polish;Auto Polish and Cleaner;Auto Polish and Sealant;Auto Polish Ball;Auto Polish/Wax;Auto Scratch Remover;Auto Surface Protector;Auto Wash/Wax;Auto Waterless Wash;Auto Wax;Black Color Wax;Carnauba Auto Wax;Carnauba Cleaner Wax;Ceramic 3-in-1 Detailer;Ceramic Polish and Wax;Ceramic Spray Coating;Ceramic Wash and Wax;Ceramic Wet Wax;Chrome and Metal Polish;Chrome Polish;Chrome Polish and Rust Remover;Clay Kit;Cleaner Wax;Detailing Kit;Mag & Aluminum Polish;Metal Polish;Metallic Car Polish;Motocycle Care Kit;Paint Sealant Protective Coating;Polishing Compound;Quick Fix Kit;Red Color Wax;Rubbing Compound;Scratch and Swirl Remover;Scratch Repair and Renew;Seal and Shine;Shine and Protect;Silver Color Wax;Speed Wax;Spray Detailer;Spray Wax;Trim and Plastic Restorer;Trim Coat Restoration Kit;White Color Wax
"Automotive, RV and Marine",Car Cleaning Supplies,Automobile Waxes and Polishes,Container Size,
"Automotive, RV and Marine",Car Cleaning Supplies,Automobile Waxes and Polishes,Pad Included,No;Yes
"Automotive, RV and Marine",Car Cleaning Supplies,Automobile Waxes and Polishes,Product Form,Liquid;Paste;Spray;Wipes
"Automotive, RV and Marine",Car Cleaning Supplies,Automobile Waxes and Polishes,Number in Package,
"Automotive, RV and Marine",Car Cleaning Supplies,Automotive Brushes,Brand Name,
"Automotive, RV and Marine",Car Cleaning Supplies,Automotive Brushes,Sub Brand,
"Automotive, RV and Marine",Car Cleaning Supplies,Automotive Brushes,Overall Length,
"Automotive, RV and Marine",Car Cleaning Supplies,Automotive Brushes,Bristle Stiffness,Assorted;Soft;Stiff;Ultra Soft
"Automotive, RV and Marine",Car Cleaning Supplies,Automotive Brushes,Product Type,Auto Detail Brush;Auto Wheel Detail Brush;Bristle Brush Set;Brush Head with Bumper;Bumper/Wheel Wash Brush;Detail Brush set;Electrostatic Detail Brush;Hand Wire Brush;Interior Auto Brush;Jet Brush Washer;Lug Nut Brush;Parts Cleaning Brush;Polishing Tool;Quick Connect Nozzle/Adapter;Tire and Bumper Brush;Tire Brush;Wash Brush;Wash Mop
"Automotive, RV and Marine",Car Cleaning Supplies,Automotive Brushes,Number in Package,
"Automotive, RV and Marine",Car Cleaning Supplies,Automotive Brushes,Packaging Type,Bagged;Boxed;Bulk;Carded
"Automotive, RV and Marine",Car Cleaning Supplies,Automotive Brushes,Bristle Material,Assorted;Brass;Chenille;Chenille Microfiber;Metal;Nylon;Plastic;Polypropylene;Polystyrene;PVC;Steel;Synthetic
"Automotive, RV and Marine",Car Cleaning Supplies,Automotive Brushes,Handle Material,Aluminum;Non-Slip Rubber;Plastic;Polypropylene;Wood
"Automotive, RV and Marine",Car Cleaning Supplies,Automotive Brushes,Handle Length,
"Automotive, RV and Marine",Car Cleaning Supplies,Automotive General Purpose Cleaners,Brand Name,
"Automotive, RV and Marine",Car Cleaning Supplies,Automotive General Purpose Cleaners,Sub Brand,
"Automotive, RV and Marine",Car Cleaning Supplies,Automotive General Purpose Cleaners,Recommended Surface Type,Carpet and Fabric;Carpet and Floor Mat;Carpet and Upholstery;Carpet/Fabric/Vinyl;Dash and Glass;Floor Mat;Glass;Glass/Metal/Plastic;Headlights;Leather;Leather and Vinyl;Leather/Rubber/Vinyl;Metal;Multi-Surface;Plastic;Plastic and Trim;Plastic/Rubber/Vinyl;Rubber and Vinyl;Tonneau Cover and Convertible Top;Trim;Upholstery
"Automotive, RV and Marine",Car Cleaning Supplies,Automotive General Purpose Cleaners,Product Type,Air Freshening Cleaner;Air Freshening Protectant;Auto Care Kit;Automotive Interior Cleaner;Bug and Tar Remover;Bug Remover;Ceramic Car Wash Soap;Cleaner;Cleaner/Conditioner;Cleaner/Polish;Cleaner/Protector;Cleaner/Protector Kit;Conditioner;Detailing Kit;Disinfectant;Disinfectant Cleaner;Engine Protector;Exterior Detailer;Glass Cleaner;Hard Water Remover;Headlight Cleaner;Headlight Restoration Kit;Headlight Restorer and Sealant;Headlight Restorer Kit;Interior Detailer;Interior Odor Remover;Interior Odor Remover Kit;Multi-Purpose Cleaner;Parts Cleaner and Degreaser;Parts Washer Soap;Protectant;Restorer;Salt Eraser;Sanitizing Anti-Bacterial Cleaner;Sap and Tar Remover;Silicone Detailer;Spray Wash Cabinet;Spray Wash Cabinet W/Skimmer;Stain Remover;Wheel Restoration Kit
"Automotive, RV and Marine",Car Cleaning Supplies,Automotive General Purpose Cleaners,Product Form,Aerosol;Foam;Gel;Liquid;Spray;Wipes
"Automotive, RV and Marine",Car Cleaning Supplies,Automotive General Purpose Cleaners,Scent,Assorted Scents;Baby Powder Scent;Bamboo Pear;Banana Scent;Bubble Gum Scent;Cherry Scent;Citrus Scent;Cool Mist Scent;Fresh;Grape Scent;Honeydew Scent;New Car Scent;Orange Scent;Pine Scent;Strawberry Scent;Vanilla Scent
"Automotive, RV and Marine",Car Cleaning Supplies,Automotive General Purpose Cleaners,Container Size,
"Automotive, RV and Marine",Car Cleaning Supplies,Automotive General Purpose Cleaners,Number in Package,
"Automotive, RV and Marine",Car Cleaning Supplies,Automotive Glass Cleaners,Brand Name,
"Automotive, RV and Marine",Car Cleaning Supplies,Automotive Glass Cleaners,Sub Brand,
"Automotive, RV and Marine",Car Cleaning Supplies,Automotive Glass Cleaners,Product Type,Auto Glass Anti-Fog;Auto Glass Cleaner;Auto Glass Protectant;Glass Cleaner;Glass Cleaner/Rain Repellant;Glass Coat Protectant;Glass Treatment;Interior Glass Anti-Fog;Rain Repellant;Rear Window Defogger;Water Repellant;Windshield De-Icer
"Automotive, RV and Marine",Car Cleaning Supplies,Automotive Glass Cleaners,Product Form,Aerosol;Foam;Gel;Kit;Liquid;Spray;Wipes
"Automotive, RV and Marine",Car Cleaning Supplies,Automotive Glass Cleaners,Container Size,
"Automotive, RV and Marine",Car Cleaning Supplies,Automotive Glass Cleaners,Deicing Temperature Equivalent,
"Automotive, RV and Marine",Car Cleaning Supplies,Car Washes,Brand Name,
"Automotive, RV and Marine",Car Cleaning Supplies,Car Washes,Sub Brand,
"Automotive, RV and Marine",Car Cleaning Supplies,Car Washes,Concentrated,No;Yes
"Automotive, RV and Marine",Car Cleaning Supplies,Car Washes,Product Type,Car Wash;Car Wash and Rain Repellent;Car Wash Kit;Car Wash Pods;Car Wash/Wax;Carnauba Car Wash and Wax Set;Ceramix;Foam Cannon;Foam Wash Gun
"Automotive, RV and Marine",Car Cleaning Supplies,Car Washes,Container Size,
"Automotive, RV and Marine",Car Cleaning Supplies,Car Washes,Product Form,Liquid;Powder
"Automotive, RV and Marine",Car Cleaning Supplies,Cleaning Cloths and Mitts,Brand Name,
"Automotive, RV and Marine",Car Cleaning Supplies,Cleaning Cloths and Mitts,Sub Brand,
"Automotive, RV and Marine",Car Cleaning Supplies,Cleaning Cloths and Mitts,Length,
"Automotive, RV and Marine",Car Cleaning Supplies,Cleaning Cloths and Mitts,Width,
"Automotive, RV and Marine",Car Cleaning Supplies,Cleaning Cloths and Mitts,Material,Acrylic;Cellulose;Chamois;Chenille;Chenille/Microfiber;Cotton;Cotton Fibers;Cotton Flannel;Cotton/Polyester;Foam;Leather;Microfiber;Nylon/Polyester/Wool;Plastic;Polyamide/Polyester;Polyester;Polypropylene;PVA;Sheep Skin;Silicone;Sponge;Synthetic;Terry Cloth
"Automotive, RV and Marine",Car Cleaning Supplies,Cleaning Cloths and Mitts,Product Type,Applicator Pads;Auto Cleaning Cloth;Auto Cleaning Kit;Auto Drying Towel;Automotive Wipes;Car Cleaning Gloves;Car Drying Towel;Car Duster;Car Sponge;Chamois;Cleaning Cloth;Cleaning Towel;Clothesline Kit;Clothesline Metal Spacer;Dash Duster;Detailing Kit;Detailing Set;Detailing Towel;Drying Towel;Duster;Foaming Soap Nozzle;Glass and Mirror Cloth;Gun and Reel Cloth;Headlight Restore Wipes Kit;Knobby Sponge With Scrubber;Pet Drying Towel;Pocketed Drying Towel;Polishing Cloth;Rags;Reach and Clean Tool;Sanitizing Anti-Bacterial Auto Wipes;Screen and Display Cloth;Scrubbing Towels;Sponge;Swiper Drying Mitt;Telescoping Cloth Duster;Terry Towels;Tire Shine Applicator;Towel;Wash Mitt;Wash Mop;Window Mop;Windshield Haze Eraser;Wipes
"Automotive, RV and Marine",Car Cleaning Supplies,Cleaning Cloths and Mitts,Number in Package,
"Automotive, RV and Marine",Car Cleaning Supplies,Tire and Wheel Cleaners,Brand Name,
"Automotive, RV and Marine",Car Cleaning Supplies,Tire and Wheel Cleaners,Sub Brand,
"Automotive, RV and Marine",Car Cleaning Supplies,Tire and Wheel Cleaners,Product Type,Chrome Wheel Cleaner;Gloss Tire Coating;Platinum Tire Coating;Rapid Ceramic Tire Coat & Protectant;Tire and Trim Shine;Tire and Wheel Cleaner;Tire Cleaner;Tire Cleaner/Protector;Tire Coating;Tire Shine;Wheel Cleaner
"Automotive, RV and Marine",Car Cleaning Supplies,Tire and Wheel Cleaners,Container Size,
"Automotive, RV and Marine",Car Cleaning Supplies,Tire and Wheel Cleaners,Product Form,Aerosol;Foam;Gel;Liquid
"Automotive, RV and Marine",Car Cleaning Supplies,Tire and Wheel Cleaners,Number in Package,
"Automotive, RV and Marine",Car Cleaning Supplies,Window Squeegees,Brand Name,
"Automotive, RV and Marine",Car Cleaning Supplies,Window Squeegees,Sub Brand,
"Automotive, RV and Marine",Car Cleaning Supplies,Window Squeegees,Blade Width,
"Automotive, RV and Marine",Car Cleaning Supplies,Window Squeegees,Material,Acrylic;Aluminum;Aluminum Alloy;Aluminum/Zinc;Anodized Aluminum/Die-Cast Zinc;Brass;Cotton;Mesh;Metal;Metal/Wood;Microfiber;Microfiber/Silicone;Neoprene;Nylon;Plastic;Rubber;Silicone;Stainless Steel;Steel;Wood
"Automotive, RV and Marine",Car Cleaning Supplies,Window Squeegees,Product Type,Automotive Squeegee;Scrubber Replacement;Shower Squeegee;Squeegee;Squeegee Head;Squeegee Kit;Squeegee Replacement Blade;Squeegee Replacement Rubber;Suction Squeegee;Telescopic Auto Squeegee;Twin Blade Window Squeegee;Window Cleaning Kit;Window Cleaning Tool;Window Spray Squeegee;Window Squeegee;Window Squeegee/Scrubber;Window Squeegee/Sponge
"Automotive, RV and Marine",Car Cleaning Supplies,Window Squeegees,Handle Included,No;Yes
"Automotive, RV and Marine",Car Cleaning Supplies,Window Squeegees,Packaging Type,Bagged;Boxed;Bulk;Carded
"Automotive, RV and Marine",Car Cleaning Supplies,Window Squeegees,Telescoping Handle,No;Yes
"Automotive, RV and Marine",Car Cleaning Supplies,Window Squeegees,Commercial or Residential,Commercial;Commercial and Residential;Residential
"Automotive, RV and Marine",Car Cleaning Supplies,Window Squeegees,Handle Length,
